Rep	Year	RepSeason	x	y	Species	NInd	NInd_stage1	NJuvs
0	1	0	328	281	0	2	2	1
0	1	0	342	281	0	2	2	0
0	1	0	255	280	0	3	3	1
0	1	0	313	280	0	1	1	1
0	1	0	329	280	0	2	2	0
0	1	0	255	279	0	1	1	0
0	1	0	256	279	0	1	1	1
0	1	0	257	279	0	3	3	2
0	1	0	281	279	0	1	1	0
0	1	0	283	278	0	3	3	2
0	1	0	296	278	0	1	1	2
0	1	0	256	277	0	0	0	0
0	1	0	278	277	0	0	0	0
0	1	0	283	277	0	3	3	3
0	1	0	270	276	0	0	0	0
0	1	0	283	276	0	1	1	0
0	1	0	299	276	0	3	3	1
0	1	0	338	276	0	2	2	1
0	1	0	285	275	0	1	1	1
0	1	0	258	274	0	2	2	0
0	1	0	299	274	0	2	2	1
0	1	0	311	274	0	2	2	0
0	1	0	312	274	0	2	2	0
0	1	0	281	273	0	1	1	0
0	1	0	311	273	0	2	2	0
0	1	0	291	272	0	1	1	1
0	1	0	299	272	0	2	2	0
0	1	0	298	271	0	2	2	0
0	1	0	279	270	0	3	3	1
0	1	0	292	270	0	2	2	1
0	1	0	339	269	0	3	3	1
0	1	0	311	268	0	1	1	0
0	1	0	330	266	0	1	1	0
0	1	0	338	263	0	4	4	1
0	1	0	340	263	0	1	1	0
0	1	0	340	261	0	4	4	3
0	1	0	262	260	0	2	2	0
0	1	0	325	257	0	1	1	1
0	1	0	350	257	0	2	2	1
0	1	0	245	256	0	5	5	1
0	1	0	345	256	0	3	3	0
0	1	0	251	254	0	2	2	1
0	1	0	334	252	0	3	3	1
0	1	0	334	251	0	2	2	1
0	2	0	215	331	0	1	1	0
0	2	0	273	330	0	2	2	0
0	2	0	301	325	0	3	3	2
0	2	0	308	325	0	2	2	0
0	2	0	292	323	0	3	3	2
0	2	0	282	322	0	1	1	0
0	2	0	291	322	0	1	1	0
0	2	0	308	322	0	1	1	1
0	2	0	260	321	0	1	1	1
0	2	0	276	321	0	2	2	0
0	2	0	290	321	0	1	1	1
0	2	0	300	321	0	1	1	1
0	2	0	289	320	0	2	2	0
0	2	0	291	320	0	0	0	0
0	2	0	280	319	0	2	2	0
